uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
16,Desarrollo social,Anticipa el pago de bono bodas de oro,"En los próximos días enviaré un proyecto de ley que acelerará el pago de este beneficio, de forma tal que todas las parejas que hayan cumplido o cumplan 50 o más años de matrimonio, y que aún no lo hayan recibido, reciban el Bono Bodas de Oro durante este año o a más tardar el próximo.",100%,1,,,8443-05,"Anticipa el pago del bono de la ley N° 20.506, Bono Bodas de Oro, para los matrimonios que se indican.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8835&prmBoletin=8443-05,,,,,,,,1,,Promulgado,1,,1,1,2,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
18,Economía y Comercio,Establece carácter variable del impuesto específico a los combustibles,"Ya enviamos un proyecto de ley que perfecciona el sistema de impuestos variables, de forma que, cuando el precio de los combustibles esté alto, los impuestos bajen y el Fisco recaude menos para que usted pague menos.",100%,1,,,8302-05,Fortalece el carácter variable del impuesto específico sobre los combustibles de uso vehicular a objeto de reducir el impacto de alzas en los precios de dichos combustibles.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8700&prmBoletin=8302-05,,,,,,,,1,,Promulgado,1,,,1,1,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
19,Economía y Comercio,Fija una tasa de interés máxima que las instituciones financieras pueden cobrar al otorgar créditos,(...) estamos tramitando otra ley para regular la Tasa de Interés Máxima Convencional.,70%,1,,,7786-03,Sobre interés máximo convencional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8183&prmBoletin=7786-03,,,,1,,,,,,Segundo Tramite,"0,7",,8,,8,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
20,Energía,Nueva Ley de Concesiones Eléctricas,"Fortalecer nuestro sistema de transmisión y crear una carretera eléctrica pública, abierta a todos los generadores y consumidores (...) Ya enviamos la nueva Ley de Concesiones Eléctricas",70%,1,,,8270-08,Procedimiento para otorgar concesiones eléctricas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8662&prmBoletin=8270-08,,,,1,,,,,,Segundo Tramite,"0,7",3,16,2,21,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
21,Energía,Creación de Carretera eléctrica Pública,"Fortalecer nuestro sistema de transmisión y crear una carretera eléctrica pública, abierta a todos los generadores y consumidores (...) y este año enviaremos la que crea la carretera pública.",40%,1,,,8566-08,Regula la carretera eléctrica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8968&prmBoletin=8566-08,1,,,,,,,,,Primer Tramite,"0,4",4,2,,6,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
22,Energía,Regula el pago de las tarifas eléctricas de generadoras residenciales,"Incorporar el multicarrier y el Net Metering, que permitirá a los hogares y empresas no solo comprar más barato sino también vender sus excedentes de energía.",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
23,Estado,Modernización Cancillería,"Este año enviaremos al Congreso Nacional el proyecto de ley que modernizará nuestra Cancillería, reorganizará sus estructuras internas, creará una Subsecretaría de Comercio Exterior y redistribuirá nuestra red de embajadas y consulados",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
24,Estado,Crea Sistema Nacional de Emergencias,"Ya presentamos al Congreso un proyecto de ley que crea un moderno Sistema Nacional de Emergencias y de Protección Civil, integrada por nuestras FF.AA., Carabineros, Bomberos y el Gobierno, y cuya coordinación quedará radicada en una nueva agencia, que remplazará a la actual ONEMI.",70%,1,,,7550-06,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7940&prmBoletin=7550-06,,,,1,,,,,,Segundo Tramite,"0,7",,23,1,24,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
25,Infancia y Juventud,Reemplaza el SENAME por dos nuevos servicios ,"(...) durante el próximo mes ingresaremos a este Congreso el proyecto que crea el Servicio de Protección de la Infancia y la Adolescencia, y el que sustituirá al Sename por el Servicio de Responsabilidad Penal Adolescente.",40%,1,,,8487-07,"Suprime el actual Servicio Nacional del Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8883&prmBoletin=8487-07,1,,,,,,,,,Primer Tramite,"0,4",5,9,,14,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
26,Justicia y DDHH,Establece un nuevo Código Procesal Civil,"En marzo pasado presentamos al Congreso el proyecto de ley que establece un nuevo Código Procesal Civil,",40%,1,,,8197-07,Establece el nuevo Código Procesal Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8596&prmBoletin=8197-07,1,,,,,,,,,Primer Tramite,"0,4",12,,,12,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
