uid,area,titulo,promesa,cumplimiento,coherencia,boletin,titulo_proyecto,link,1er_tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprob_presidencial ,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total,marginal ,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
28,Estado,Desarrollo regiones extremas,"Para potenciar en forma muy especial el desarrollo de las regiones extremas, estamos revisando y fortaleciendo los incentivos tributarios",40%,4,8011-05,Establece incentivos especiales para las zonas extremas del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8403&prmBoletin=8011-05,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
29,Estado,Elección directa de consejeros regionales,"Potenciaremos y modernizaremos los gobiernos regionales y comunales, incorporando la elección directa de los consejeros regionales",40%,4,7923-06,Establece elección directa de los Consejeros Regionales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
30,Estado,Modernización de Gobiernos Regionales,Potenciaremos y modernizaremos los gobiernos regionales y comunales (…) extendiendo la Alta Dirección Pública para los cargos claves,40%,3,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,1,,3,"Proyecto relativo sólo al nivel regional, no al comunal",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
31,Estado,Creación de Fideicomiso Ciego,Enviamos a este Congreso el proyecto de ley que perfecciona las declaraciones de patrimonio de intereses de las autoridades públicas y crea la figura del Fideicomiso Ciego,70%,4,7616-06,Probidad en la Función Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",9,4,,13,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
32,Cultura,Creación Ministerio de Cultura y el Patrimonio,"Propondremos crear el Ministerio de la Cultura y el Patrimonio, que agrupará al Consejo de la Cultura y las Artes, la Dirección de Bibliotecas, Archivos y Museos y el Consejo de Monumentos Nacionales",0%,1,,Sobre la creacion del Ministerio de la Cultura y el Patrimonio,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
33,Cultura,Perfeccionamiento Ley de Donaciones Culturales,"Proyecto de ley que fortalece y perfecciona la Ley de Donaciones Culturales, simplificando sus procedimientos y ampliando el universo de beneficiarios y donantes",40%,4,7761-06,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
34,Deportes,Creación de Ministerio del Deporte,Hemos decidido enviar a este Congreso un proyecto de ley que creará el Ministerio del Deporte en Chile,40%,4,8085-29,Crea el Ministerio del Deporte,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8484&prmBoletin=8085-29,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
35,Trabajo y Previsión Social,Extensión de posnatal,"Enviamos al Congreso el proyecto de ley que extiende el posnatal de tres a seis meses y amplía su cobertura para el 60 por ciento de las madres trabajadoras de clase media y vulnerables, incorporando así a 160 mil mujeres a este beneficio",100%,4,7526-13,Proyecto de ley en materia de duración del descanso de maternidad,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7918&prmBoletin=7526-13,,,,,,,,1,,Promulgado,1,3,4,1,8,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
36,Infancia y Juventud,Reformulación de Sename,"Para ayudar a los niños en situación de fragilidad, presentaremos el proyecto de ley que reformula el actual Sename, creando dos instituciones: el Servicio Nacional de la Infancia y la Adolescencia y el nuevo Servicio Nacional de Menores, enfocado exclusivamente en la atención y rehabilitación de niños y adolescentes que hayan infringido la ley",0%,1,,Proyecto de ley que modifica el SENAME y crea el Servicio Nacional de la Infancia y la Adolescencia y el nuevo Servicio Nacional de Menores ,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
37,Justicia y DDHH,Perfeccionamiento de legislación familiar sobre cuidado de hijos por padres separados,"Estamos perfeccionando nuestra legislación familiar y las normas sobre cuidado compartido de los hijos por padres separados, para buscar fórmulas más armoniosas, poniendo siempre por delante el interés superior de los hijos",70%,4,5917-18,"Introduce modificaciones en el Código Civil y en otros cuerpos legales, con el objeto de proteger la integridad del menor en caso de que sus padres vivan separados",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6301&prmBoletin=5917-18,,,,1,,,,,,Segundo Tramite,"0,7",7,4,,11,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
