uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
39,Economía y Comercio,Modernización del Sistema Tributario,"Impulsaremos una Modernización del Sistema Tributario, que no solo corregirá deficiencias de la Reforma anterior, sino que significará un gran avance hacia un Sistema Tributario más simple, equitativo y moderno,  que promueva la inversión, el ahorro, el crecimiento, la creación de empleos, la innovación y el emprendimiento. ",40%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,El proyecto de ley asociado se encuentra en primer trámite constitucional
40,Economía y Comercio,Autonomía para el Consejo Fiscal,"Enviaré  un Proyecto de Ley que otorga autonomía al Consejo Fiscal, el que integrado por destacadas personalidades propuestas por el Presidente y con acuerdo del Senado, velará por el cumplimiento de una eficaz y transparente política y regla fiscal.",100%,11777-05,Crea el Consejo Fiscal Autónomo,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11777-05,,,,,,,,1,,Promulgado,1,5,4,4,13,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
41,Medio Ambiente,Nuevo Sistema de Evaluación de Impacto Ambiental, Nuevo Sistema de Evaluación de Impacto Ambiental ,40%,11952-12,"Moderniza el Sistema de
 Evaluación de Impacto
 Ambiental",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11952-12,1,,,,,,,,,Primer Tramite,"0,4",8,,,8,El proyecto de ley asociado se encuentra en primer trámite constitucional
42,Medio Ambiente,Nuevo Servicio de Parques y Biodiversidad.,"Nueva Institucionalidad Ambiental, que incluye el nuevo Servicio de Parques y Biodiversidad.",40%,9404-12,"Crea el Servicio de
 Biodiversidad y Áreas
 Protegidas y el Sistema
 Nacional de Áreas
 Protegidas.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9404-12,1,,,,,,,,,Primer Tramite,"0,4",3,5,,8,El proyecto de ley asociado se encuentra en primer trámite constitucional
43,Economía y Comercio,Derechos y deberes de los consumidores,Una mejor protección de los derechos y clarificación de los deberes de nuestros consumidores y trabajadores,40%,12409-03,"Proyecto de Ley que
 Establece Medidas para
 Incentivar la protección de
 los derechos de los consumidores",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12409-03,1,,,,,,,,,Primer Tramite,"0,4",2,4,,6,El proyecto de ley asociado se encuentra en primer trámite constitucional
44,Ciencia y Tecnología,"Ley de Transformación Digital,","Enviaremos prontamente el Proyecto de Ley de Transformación Digital, que permita la identidad digital de los ciudadanos y que los procedimientos administrativos sean digitales. ",70%,11882-06,"Modifica la Ley que
 establece Bases de los
 Procedimientos
 Administrativos, en materia
 de documentos
 electrónicos.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11882-06,,,,1,,,,,,Segundo Tramite,"0,7",4,10,1,15,El proyecto de ley asociado se encuentra en segundo trámite constitucional
45,Estado,Transparencia,Una nueva agenda que ampliará los órganos incluidos en la Ley (de Transparencia)y mejorará los procesos de reclamación.  ,40%,12100-07,"Modifica la ley N°20.285,
 Sobre Acceso a la
 Información Pública",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12100-07,1,,,,,,,,,Primer Tramite,"0,4",6,3,,9,El proyecto de ley asociado se encuentra en primer trámite constitucional
46,Estado,Ley de Integridad Pública,Enviaré al Congreso el Proyecto de Ley de Integridad Pública que aborda los requisitos para ingresar al Servicio Público y las limitaciones que deben tener las personas cuando lo abandonan.,40%,11883-06,Fortalece la integridad pública.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?,1,,,,,,,,,Primer Tramite,"0,4",5,10,,15,El proyecto de ley asociado se encuentra en primer trámite constitucional
47,Estado,Sanción al cohecho,Haremos más severas las sanciones a los delitos de cohecho,100%,10739-07,"Modifica el Código Penal en lo relativo a los delitos de cohecho y soborno, aumentando las penas, tipifica los delitos de soborno entre particulares y de administración desleal; y la ley N° 20.393, que establece la responsabilidad penal de las personas jurídicas en los delitos de lavado de activos, financiamiento del terrorismo y delitos de cohecho que indica.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10739-07,,,,,,,,1,,Promulgado,1,11,4,6,21,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
48,Seguridad Ciudadana,Combate a las incivilidades,"Combatiremos con mayor rigor, eficacia y penas más severas, las incivilidades que tanto deterioran nuestra calidad de vida, como el consumo de alcohol y drogas en la calle, las pinturas, graffitis o rayados no autorizados en inmuebles y bienes, públicos o privados, especialmente los con valor patrimonial, los ruidos molestos, el botar basura en lugares no habilitados, el daño o destrucción de mobiliario urbano e instalaciones en plazas y parques, el uso indebido de fuegos artificiales, el comercio ambulante y la venta clandestina de alcohol.",40%,11913-25,Sanciona conductas que afectan la convivencia ciudadana y aumentan la sensación de inseguridad en la población.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11913-25,1,,,,,,,,,Primer Tramite,"0,4",4,9,,13,El proyecto de ley asociado se encuentra en primer trámite constitucional
